source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_entre rios_nogoya,AR,Argentina,Entre Ríos,Nogoyá,NA
gadm,argentina_entre rios_parana,AR,Argentina,Entre Ríos,Paraná,NA
gadm,argentina_entre rios_tala,AR,Argentina,Entre Ríos,Tala,NA
gadm,argentina_entre rios_uruguay,AR,Argentina,Entre Ríos,Uruguay,NA
gadm,argentina_entre rios_victoria,AR,Argentina,Entre Ríos,Victoria,NA
gadm,argentina_entre rios_villaguay,AR,Argentina,Entre Ríos,Villaguay,NA
gadm,argentina_formosa,AR,Argentina,Formosa,NA,NA
gadm,argentina_formosa_bermejo,AR,Argentina,Formosa,Bermejo,NA
gadm,argentina_formosa_formosa,AR,Argentina,Formosa,Formosa,NA
gadm,argentina_formosa_laishi,AR,Argentina,Formosa,Laishi,NA
gadm,argentina_formosa_matacos,AR,Argentina,Formosa,Matacos,NA
gadm,argentina_formosa_patino,AR,Argentina,Formosa,Patiño,NA
gadm,argentina_formosa_pilagas,AR,Argentina,Formosa,Pilagás,NA
gadm,argentina_formosa_pilcomayo,AR,Argentina,Formosa,Pilcomayo,NA
gadm,argentina_formosa_pirane,AR,Argentina,Formosa,Pirané,NA
gadm,argentina_formosa_ramon lista,AR,Argentina,Formosa,Ramón Lista,NA
gadm,argentina_jujuy,AR,Argentina,Jujuy,NA,NA
gadm,argentina_jujuy_capital,AR,Argentina,Jujuy,Capital,NA
gadm,argentina_jujuy_cochinoca,AR,Argentina,Jujuy,Cochinoca,NA
gbif_gsg,argentina_jujuy_doutor manuel belgrano,NA,argentina,jujuy,doutor manuel belgrano,NA
gadm,argentina_jujuy_el carmen,AR,Argentina,Jujuy,El Carmen,NA
gadm,argentina_jujuy_humahuaca,AR,Argentina,Jujuy,Humahuaca,NA
gadm,argentina_jujuy_ledesma,AR,Argentina,Jujuy,Ledesma,NA
gadm_treeco,argentina_jujuy_palpala,AR,Argentina,Jujuy,Palpalá,NA
gadm,argentina_jujuy_rinconada,AR,Argentina,Jujuy,Rinconada,NA
gadm,argentina_jujuy_san antonio,AR,Argentina,Jujuy,San Antonio,NA
gadm,argentina_jujuy_san pedro,AR,Argentina,Jujuy,San Pedro,NA
gadm,argentina_jujuy_santa barbara,AR,Argentina,Jujuy,Santa Bárbara,NA
gadm,argentina_jujuy_santa catalina,AR,Argentina,Jujuy,Santa Catalina,NA
gadm,argentina_jujuy_susques,AR,Argentina,Jujuy,Susques,NA
gadm,argentina_jujuy_tilcara,AR,Argentina,Jujuy,Tilcara,NA
gadm,argentina_jujuy_tumbaya,AR,Argentina,Jujuy,Tumbaya,NA
gadm,argentina_jujuy_valle grande,AR,Argentina,Jujuy,Valle Grande,NA
gadm,argentina_jujuy_yavi,AR,Argentina,Jujuy,Yavi,NA
